442731/9322;Marek Hruby;05.10.1953 5:34:24;8;2
253315/3246;Gabriela Kocur;20.12.1918 15:00:24
721281/1595;Darina Kiska;06.12.2001 13:57:24
190806/2175;Natalia Zavodancik;21.04.1972 3:28:24;1;2
354413/8340;Vladimira Iglar;05.09.1983 18:22:24;21;2
597684/2220;Zaneta Danko;30.06.2001 22:26:24;24;2
851772/2519;Nikola Lassak;08.07.2000 19:59:24;14;2
158810/9548;Juraj Stevuliak;02.04.1938 8:20:24;15;2
226727/2768;Jakub Vojtassak;13.04.1928 6:40:24;51;2
317969/4456;Sylvia Fico;15.05.1982 13:41:24;5;2
399453/9737;Patricia Vysoky;02.10.1925 16:07:24;53;2
512996/8512;Anton Novak;03.11.1993 16:06:24
656170/7070;Zoltan Liska;30.01.1994 17:26:24;84;2
775195/4693;Zuzana Novak;18.12.1971 2:29:24;3;2
917797/2645;Sylvia Jurovcik;22.07.1944 14:11:24;111;2
130907/8830;Petra Lassak;01.06.1961 1:17:24;8;2
175718/5542;Patricia Hruby;07.07.2012 21:55:24;127;2
208817/7198;Zaneta Stevuliak;03.08.1944 19:31:24;31;2
238605/4490;Vladimira Prokop;07.01.1920 0:21:24;135;2
284665/3499;Darina Fico;08.07.2012 12:41:24;95;2
331862/5576;Juraj Zavodancik;28.09.1999 9:41:24;40;2
379505/5370;Michal Siroky;07.02.2001 21:36:24
416038/3535;Zoltan Novak;08.07.1938 19:03:24;23;2
477442/7848;Michaela Novak;26.02.2008 22:11:24;12;2
562191/5825;Peter Liska;07.08.1992 2:46:24
631104/2387;Radoslav Kocur;13.07.1946 16:11:24;5;2
689327/6924;Zoltan Jurovcik;28.10.1919 18:56:24;37;2
754554/7846;Peter Vojtassak;16.02.1948 13:25:24;42;2
813796/8415;Zaneta Hruby;05.07.1968 7:38:24
892709/9503;Michaela Lassak;23.05.1948 19:09:24;1;2
956788/1472;Juraj Prokop;13.03.1938 17:06:24;49;2
111682/8476;Peter Fico;27.03.1978 4:51:24;93;2
147077/9324;Lukas Mastny;11.03.1942 4:02:24;195;2
168843/3973;Michal Novak;11.10.1970 13:17:24;71;2
184531/7456;Juraj Kocur;20.02.1936 18:16:24;81;2
200132/9159;Gabriela Vysoky;12.09.1948 20:38:24;136;2
217885/4860;Nikola Kiska;12.12.1927 6:02:24;1271;3
233236/6833;Petra Siroky;11.09.1961 4:58:24;1865;4
247304/6511;Zaneta Kocur;09.09.1980 15:50:24;3;2
267685/2958;Mia Novak;08.04.2009 19:42:24;67;2
298289/3888;Anton Tenky;22.03.1958 22:47:24;42;2
325194/5140;Peter Stevuliak;14.12.1985 20:50:24
343537/6127;Radoslav Florek;29.06.1992 15:55:24;3;2
365048/3686;Petra Fico;20.01.1986 12:03:24;41;2
